rank,superfamily_scientific,family_scientific,family_common,subfamily_scientific,genus_scientific,species_scientific,species_common
species,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,lithocolletis,lithocolletis scopariella,ploskáčik zanovätníkový
species,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,lithocolletis,lithocolletis fraxinella,ploskáčik kručinkový
species,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,lithocolletis,lithocolletis staintoniella,ploskáčik Staintonov
species,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,lithocolletis,lithocolletis eugregori,ploskáčik Gregorov
species,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,lithocolletis,lithocolletis nigrescentella,ploskáčik hrachorový
genus,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,triberta,,
species,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,triberta,triberta helianthemella,ploskáčik devätorníkový
genus,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,macrosaccus,,
species,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,macrosaccus,macrosaccus robiniella,ploskáčik agátový
genus,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,cameraria,,
species,gracillarioidea,gracillariidae,psotkovité,lithocolletinae,cameraria,cameraria ohridella,ploskáčik pagaštanový
subfamily,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,,,
genus,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,,
species,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,phyllocnistis extrematrix,listovníček krátkomínový
species,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,phyllocnistis labyrinthella,listovníček osikový
species,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,phyllocnistis saligna,listovníček vŕbový
species,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,phyllocnistis asiatica,listovníček ázijský
species,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,phyllocnistis ramulicola,listovníček vetvičkový
species,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,phyllocnistis unipunctella,listovníček topoľový
species,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,phyllocnistis valentinensis,listovníček valencijský
species,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,phyllocnistis vitegenella,listovníček viničový
species,gracillarioidea,gracillariidae,psotkovité,phyllocnistinae,phyllocnistis,phyllocnistis xenia,listovníček Xenin
superfamily,yponomeutoidea,,,,,,
family,yponomeutoidea,yponomeutidae,priadzovcovité,,,,
subfamily,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,,,
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,yponomeuta,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,yponomeuta,yponomeuta evonymella,priadzovec čremchový
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,yponomeuta,yponomeuta padella,priadzovec ovocný
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,yponomeuta,yponomeuta malinellus,priadzovec jabloňový
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,yponomeuta,yponomeuta cagnagella,priadzovec mukyňový
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,yponomeuta,yponomeuta irrorella,priadzovec slivkový
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,yponomeuta,yponomeuta plumbella,priadzovec bršlenový
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,yponomeuta,yponomeuta sedella,priadzovec dvanásťbodý
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,euhyponomeuta,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,euhyponomeuta,euhyponomeuta stannella,priadzovec rozchodníkový
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,zelleria,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,zelleria,zelleria hepariella,priadzovec jaseňový
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,euhyponomeutoides,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,euhyponomeutoides,euhyponomeutoides albithoracellus,priadzovec bielohrudný
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,euhyponomeutoides,euhyponomeutoides ribesiella,priadzovec ríbezľový
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,kessleria,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,kessleria,kessleria alpicella,priadzovec alpínsky
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,kessleria,kessleria zimmermanni,priadzovec Zimmermannov
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,kessleria,kessleria saxifragae,priadzovec lomikameňový
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,pseudoswammerdamia,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,pseudoswammerdamia,pseudoswammerdamia combinella,priadzovec očkatý
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,swammerdamia,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,swammerdamia,swammerdamia caesiella,priadzovec brezový
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,swammerdamia,swammerdamia pyrella,priadzovec hruškový
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,swammerdamia,swammerdamia compunctella,priadzovec jarabinový
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,paraswammerdamia,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,paraswammerdamia,paraswammerdamia albicapitella,priadzovec bielohlavý
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,paraswammerdamia,paraswammerdamia nebulella,priadzovec hlohový
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,cedestis,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,cedestis,cedestis gysseleniella,priadzovec chvojinový
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,cedestis,cedestis subfasciella,priadzovec jednopásavý
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,ocnerostoma,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,ocnerostoma,ocnerostoma piniariella,priadzovec borovicový
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,ocnerostoma,ocnerostoma friesei,priadzovec Frieseho
genus,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,niphonympha,,
species,yponomeutoidea,yponomeutidae,priadzovcovité,yponomeutinae,niphonympha,niphonympha dealbatella,priadzovec biely
family,yponomeutoidea,argyresthiidae,priadzovčekovité,,,,
genus,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,,
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia laevigatella,priadzovček smrekovcový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia illuminatella,priadzovček jedlinový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia glabratella,priadzovček smrekový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia svenssoni,priadzovček Svenssonov
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia kulfani,priadzovček Kulfanov
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia amiantella,priadzovček striebrošedý
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia bergiella,priadzovček zlatožltý
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia praecocella,priadzovček bobuľový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia arceuthina,priadzovček borievkový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia trifasciata,priadzovček trojpásavý
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia dilectella,priadzovček borievčí
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia thuiella,priadzovček tujový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia abdominalis,priadzovček ihlicový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia aurulentella,priadzovček zlatistý
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia ivella,priadzovček lieskový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia brockeella,priadzovček Brockeho
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia goedartella,priadzovček jelšový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia pygmaeella,priadzovček vŕbový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia sorbiella,priadzovček mukyňový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia submontana,priadzovček podhorský
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia curvella,priadzovček jabloňový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia retinella,priadzovček brezový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia fundella,priadzovček jedľový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia glaucinella,priadzovček sivastý
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia spinosella,priadzovček krovinový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia conjugella,priadzovček jarabinový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia pulchella,priadzovček čierny
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia semifusca,priadzovček čremchový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia pruniella,priadzovček púčikový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia bonnetella,priadzovček hlohový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia albistria,priadzovček trnkový
species,yponomeutoidea,argyresthiidae,priadzovčekovité,,argyresthia,argyresthia semitestacella,priadzovček bukový
family,yponomeutoidea,plutellidae,spradúvačovité,,,,
genus,yponomeutoidea,plutellidae,spradúvačovité,,plutella,,
species,yponomeutoidea,plutellidae,spradúvačovité,,plutella,plutella xylostella,molička kapustová
species,yponomeutoidea,plutellidae,spradúvačovité,,plutella,plutella porrectella,molička večernicová
genus,yponomeutoidea,plutellidae,spradúvačovité,,rhigognostis,,
species,yponomeutoidea,plutellidae,spradúvačovité,,rhigognostis,rhigognostis senilella,molička arábková
species,yponomeutoidea,plutellidae,spradúvačovité,,rhigognostis,rhigognostis annulatella,molička cheirantová
species,yponomeutoidea,plutellidae,spradúvačovité,,rhigognostis,rhigognostis incarnatella,molička horská
genus,yponomeutoidea,plutellidae,spradúvačovité,,eidophasia,,
species,yponomeutoidea,plutellidae,spradúvačovité,,eidophasia,eidophasia messingiella,molička žerušnicová
species,yponomeutoidea,plutellidae,spradúvačovité,,eidophasia,eidophasia hufnagelii,molička Hufnagelova
family,yponomeutoidea,glyphipterigidae,môľkovité,,,,
subfamily,yponomeutoidea,glyphipterigidae,môľkovité,orthoteliinae,,,
genus,yponomeutoidea,glyphipterigidae,môľkovité,orthoteliinae,orthotelia,,
species,yponomeutoidea,glyphipterigidae,môľkovité,orthoteliinae,orthotelia,orthotelia sparganella,môľka ježohlavová
subfamily,yponomeutoidea,glyphipterigidae,môľkovité,glyphipteriginae,,,
genus,yponomeutoidea,glyphipterigidae,môľkovité,glyphipteriginae,glyphipterix,,
species,yponomeutoidea,glyphipterigidae,môľkovité,glyphipteriginae,glyphipterix,glyphipterix thrasonella,môľka sitinová
species,yponomeutoidea,glyphipterigidae,môľkovité,glyphipteriginae,glyphipterix,glyphipterix bergstraesserella,môľka chlpaňová
species,yponomeutoidea,glyphipterigidae,môľkovité,glyphipteriginae,glyphipterix,glyphipterix equitella,môľka rozchodníková
species,yponomeutoidea,glyphipterigidae,môľkovité,glyphipteriginae,glyphipterix,glyphipterix haworthana,môľka Haworthova
species,yponomeutoidea,glyphipterigidae,môľkovité,glyphipteriginae,glyphipterix,glyphipterix forsterella,môľka Forsterova
species,yponomeutoidea,glyphipterigidae,môľkovité,glyphipteriginae,glyphipterix,glyphipterix simpliciella,môľka reznačková
species,yponomeutoidea,glyphipterigidae,môľkovité,glyphipteriginae,glyphipterix,glyphipterix schoenicolella,môľka šašinová
subfamily,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,,,
genus,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,digitivalva,,
species,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,digitivalva,digitivalva valeriella,môľka stepná
species,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,digitivalva,digitivalva arnicella,môľka arniková
species,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,digitivalva,digitivalva reticulella,môľka slamihová
species,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,digitivalva,digitivalva perlepidella,môľka omanová
species,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,digitivalva,digitivalva pulicariae,môľka blšníková
species,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,digitivalva,digitivalva granitella,môľka granitná
genus,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,acrolepiopsis,,
species,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,acrolepiopsis,acrolepiopsis assectella,môľka cesnaková
genus,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,acrolepia,,
species,yponomeutoidea,glyphipterigidae,môľkovité,acrolepiinae,acrolepia,acrolepia autumnitella,môľka ľuľková
family,yponomeutoidea,ypsolophidae,moličkovité,,,,
subfamily,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,,,
genus,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,,
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha mucronella,molička bršlenová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha nemorella,molička hájová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha dentella,molička kosákovitá
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha falcella,molička zemolezová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha asperella,molička jabloňová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha scabrella,molička hrušková
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha horridella,molička ovocná
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha lucella,molička húštinová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha persicella,molička broskyňová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha alpella,molička dúbravová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha sylvella,molička dubová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha parenthesella,molička hrabová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha ustella,molička topoľová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha sequella,molička lesná
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha vittella,molička brestová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha coriacella,molička jedľová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha chazariella,molička klenová
species,yponomeutoidea,ypsolophidae,moličkovité,ypsolophinae,ypsolopha,ypsolopha leuconotella,molička hnedá
subfamily,yponomeutoidea,ypsolophidae,moličkovité,ochsenheimeriinae,,,
genus,yponomeutoidea,ypsolophidae,moličkovité,ochsenheimeriinae,ochsenheimeria,,
species,yponomeutoidea,ypsolophidae,moličkovité,ochsenheimeriinae,ochsenheimeria,ochsenheimeria taurella,steblovka obilná
species,yponomeutoidea,ypsolophidae,moličkovité,ochsenheimeriinae,ochsenheimeria,ochsenheimeria urella,steblovka trávová
species,yponomeutoidea,ypsolophidae,moličkovité,ochsenheimeriinae,ochsenheimeria,ochsenheimeria vacculella,steblovka mätonohová
family,yponomeutoidea,praydidae,priadzovačovité,,,,
genus,yponomeutoidea,praydidae,priadzovačovité,,atemelia,,
species,yponomeutoidea,praydidae,priadzovačovité,,atemelia,atemelia torquatella,priadzovač brestový
genus,yponomeutoidea,praydidae,priadzovačovité,,prays,,
species,yponomeutoidea,praydidae,priadzovačovité,,prays,prays fraxinella,priadzovač jaseňový
species,yponomeutoidea,praydidae,priadzovačovité,,prays,prays ruficeps,priadzovač tmavý
genus,yponomeutoidea,praydidae,priadzovačovité,,heliodines,,
species,yponomeutoidea,praydidae,priadzovačovité,,heliodines,heliodines roesella,dennovka mrlíková
family,yponomeutoidea,bedelliidae,mínovačovité,,,,
genus,yponomeutoidea,bedelliidae,mínovačovité,,bedellia,,
species,yponomeutoidea,bedelliidae,mínovačovité,,bedellia,bedellia somnulentella,mínovač pupencový
family,yponomeutoidea,scythropiidae,priadzkovité,,,,
genus,yponomeutoidea,scythropiidae,priadzkovité,,scythropia,,
species,yponomeutoidea,scythropiidae,priadzkovité,,scythropia,scythropia crataegella,priadzovec trnkový
family,yponomeutoidea,lyonetiidae,podkopáčikovité,,,,
subfamily,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,,,
genus,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,,
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera lotella,podkopáčik ľadencový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera onobrychidella,podkopáčik vičencový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera lustratella,podkopáčik ľubovníkový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera laburnella,podkopáčik štedrecový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera spartifoliella,podkopáčik prútnatcový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera lathyrifoliella,podkopáčik hrachorový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera malifoliella,podkopáčik špirálový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera heringiella,podkopáčik Heringov
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera aceris,podkopáčik javorový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,cemiostominae,leucoptera,leucoptera sinuella,podkopáčik topoľový
subfamily,yponomeutoidea,lyonetiidae,podkopáčikovité,lyonetiinae,,,
genus,yponomeutoidea,lyonetiidae,podkopáčikovité,lyonetiinae,lyonetia,,
species,yponomeutoidea,lyonetiidae,podkopáčikovité,lyonetiinae,lyonetia,lyonetia clerkella,podkopáčik ovocný
species,yponomeutoidea,lyonetiidae,podkopáčikovité,lyonetiinae,lyonetia,lyonetia ledi,podkopáčik rojovníkový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,lyonetiinae,lyonetia,lyonetia prunifoliella,podkopáčik slivkový
species,yponomeutoidea,lyonetiidae,podkopáčikovité,lyonetiinae,lyonetia,lyonetia pulverulentella,podkopáčik vŕbový
genus,yponomeutoidea,lyonetiidae,podkopáčikovité,lyonetiinae,phyllobrostis,,
species,yponomeutoidea,lyonetiidae,podkopáčikovité,lyonetiinae,phyllobrostis,phyllobrostis hartmanni,podkopáčik Hartmannov
family,yponomeutoidea,douglasiidae,vejačkovité,,,,
genus,yponomeutoidea,douglasiidae,vejačkovité,,tinagma,,
species,yponomeutoidea,douglasiidae,vejačkovité,,tinagma,tinagma perdicella,vejačka malinová
species,yponomeutoidea,douglasiidae,vejačkovité,,tinagma,tinagma signatum,vejačka značkovaná
species,yponomeutoidea,douglasiidae,vejačkovité,,tinagma,tinagma ocnerostomella,vejačka stonková
species,yponomeutoidea,douglasiidae,vejačkovité,,tinagma,tinagma anchusella,vejačka smohlová
species,yponomeutoidea,douglasiidae,vejačkovité,,tinagma,tinagma balteolella,vejačka hadincová
genus,yponomeutoidea,douglasiidae,vejačkovité,,klimeschia,,
species,yponomeutoidea,douglasiidae,vejačkovité,,klimeschia,klimeschia transversella,vejačka dúšková
superfamily,gelechioidea,,,,,,
family,gelechioidea,autostichidae,humusovkovité,,,,
subfamily,gelechioidea,autostichidae,humusovkovité,autostichinae,,,
genus,gelechioidea,autostichidae,humusovkovité,autostichinae,deroxena,,
species,gelechioidea,autostichidae,humusovkovité,autostichinae,deroxena,deroxena venosulella,humusovka žilkovaná
subfamily,gelechioidea,autostichidae,humusovkovité,symmocinae,,,
genus,gelechioidea,autostichidae,humusovkovité,symmocinae,oegoconia,,
species,gelechioidea,autostichidae,humusovkovité,symmocinae,oegoconia,oegoconia caradjai,humusovka Caradjova
species,gelechioidea,autostichidae,humusovkovité,symmocinae,oegoconia,oegoconia deauratella,humusovka menšia
species,gelechioidea,autostichidae,humusovkovité,symmocinae,oegoconia,oegoconia novimundi,humusovka novosvetská
species,gelechioidea,autostichidae,humusovkovité,symmocinae,oegoconia,oegoconia uralskella,humusovka žltoškvrnná
genus,gelechioidea,autostichidae,humusovkovité,symmocinae,apatema,,
species,gelechioidea,autostichidae,humusovkovité,symmocinae,apatema,apatema mediopallidum,humusovka strednesvetlá
species,gelechioidea,autostichidae,humusovkovité,symmocinae,apatema,apatema apolausticum,humusovka požívačná
species,gelechioidea,autostichidae,humusovkovité,symmocinae,apatema,apatema whalleyi,humusovka Whalleyova
genus,gelechioidea,autostichidae,humusovkovité,symmocinae,pantacordis,,
species,gelechioidea,autostichidae,humusovkovité,symmocinae,pantacordis,pantacordis pales,humusovka tipuľovitá
genus,gelechioidea,autostichidae,humusovkovité,symmocinae,donaspastus,,
species,gelechioidea,autostichidae,humusovkovité,symmocinae,donaspastus,donaspastus pannonicus,humusovka panónska
family,gelechioidea,lecithoceridae,stepnomilovité,,,,
subfamily,gelechioidea,lecithoceridae,stepnomilovité,lecithocerinae,,,
genus,gelechioidea,lecithoceridae,stepnomilovité,lecithocerinae,homaloxestis,,
species,gelechioidea,lecithoceridae,stepnomilovité,lecithocerinae,homaloxestis,homaloxestis briantiella,stepnomil Briantov
genus,gelechioidea,lecithoceridae,stepnomilovité,lecithocerinae,lecithocera,,
species,gelechioidea,lecithoceridae,stepnomilovité,lecithocerinae,lecithocera,lecithocera nigrana,stepnomil počerný
family,gelechioidea,blastobasidae,hrabankovité,,,,
genus,gelechioidea,blastobasidae,hrabankovité,,blastobasis,,
species,gelechioidea,blastobasidae,hrabankovité,,blastobasis,blastobasis phycidella,hrabankovka dúbravová
species,gelechioidea,blastobasidae,hrabankovité,,blastobasis,blastobasis pannonica,hrabankovka panónska
species,gelechioidea,blastobasidae,hrabankovité,,blastobasis,blastobasis glandulella,hrabankovka veľká
genus,gelechioidea,blastobasidae,hrabankovité,,hypatopa,,
species,gelechioidea,blastobasidae,hrabankovité,,hypatopa,hypatopa binotella,hrabankovka smrečinová
species,gelechioidea,blastobasidae,hrabankovité,,hypatopa,hypatopa inunctella,hrabankovka jelšinová
species,gelechioidea,blastobasidae,hrabankovité,,hypatopa,hypatopa segnella,hrabankovka vrbinová
genus,gelechioidea,blastobasidae,hrabankovité,,tecmerium,,
species,gelechioidea,blastobasidae,hrabankovité,,tecmerium,tecmerium perplexus,hrabankovka grécka
family,gelechioidea,oecophoridae,zdobkovité,,,,
subfamily,gelechioidea,oecophoridae,zdobkovité,deuterogoninae,,,
genus,gelechioidea,oecophoridae,zdobkovité,deuterogoninae,deuterogonia,,
species,gelechioidea,oecophoridae,zdobkovité,deuterogoninae,deuterogonia,deuterogonia pudorina,zdobka trojpásavá
subfamily,gelechioidea,oecophoridae,zdobkovité,oecophorinae,,,
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,promalactis,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,promalactis,promalactis procerella,zdobka kôrová
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,fabiola,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,fabiola,fabiola pokornyi,zdobka Pokorného
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,schiffermuelleria,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,schiffermuelleria,schiffermuelleria schaefferella,zdobka Schäfferova
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,schiffermuelleria,schiffermuelleria grandis,zdobka bučinová
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,buvatina,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,buvatina,buvatina tineiformis,zdobka moľovitá
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,denisia,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,denisia,denisia stroemella,zdobka Strömova
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,denisia,denisia augustella,zdobka hrušková
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,denisia,denisia similella,zdobka borinná
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,denisia,denisia stipella,zdobka smrečinová
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,denisia,denisia nubilosella,zdobka alpínska
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,decantha,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,decantha,decantha borkhausenii,zdobka Borkhausenova
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,metalampra,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,metalampra,metalampra cinnamomea,zdobka rúbanisková
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,endrosis,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,endrosis,endrosis sarcitrella,zdobka potravinová
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,hofmannophila,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,hofmannophila,hofmannophila pseudospretella,zdobka obyčajná
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,borkhausenia,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,borkhausenia,borkhausenia minutella,zdobka sezelová
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,borkhausenia,borkhausenia fuscescens,zdobka šedá
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,borkhausenia,borkhausenia luridicomella,zdobka žltohlavá
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,kasyniana,,
species,gelechioidea,oecophoridae,zdobkovité,oecophorinae,kasyniana,kasyniana diminutella,zdobka krasová
genus,gelechioidea,oecophoridae,zdobkovité,oecophorinae,crassa,,
