id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
1263985,lapavka mravcovitá,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:47:05Z
1269340,mravce,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:05:35Z
47336,mravcovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:06:17Z
343463,mravec zemný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:07:17Z
343256,mravec príživný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:07:41Z
336893,mravec semenár,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:09:23Z
119172,mravec bodavý,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:10:29Z
343264,mravec štvorškvrnný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:11:24Z
300597,mravec otrokár,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:11:56Z
343186,mravec drobný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:12:26Z
69315,mravec žltý,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:12:52Z
343357,mravec červený,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:13:41Z
100996,mravec lúčny,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:14:09Z
69257,mravec otročiaci,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:14:28Z
338086,mravec drevokaz,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:16:57Z
215974,mravec horský,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:19:38Z
48740,osy,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:21:03Z
119344,murárkovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T20:21:33Z
