rank,order_scientific,order_common,infraorder_scientific,infraorder_common,superfamily_scientific,superfamily_common,family_scientific,family_common,genus_scientific,genus_common,species_scientific,species_common
family,homoptera,rovnakokrídlovce,aphidoidea,vošky,,,phylloxeridae,fyloxérovité,,,,
genus,homoptera,rovnakokrídlovce,aphidoidea,vošky,,,phylloxeridae,fyloxérovité,phylloxerina,fyloxéra,,
species,homoptera,rovnakokrídlovce,aphidoidea,vošky,,,phylloxeridae,fyloxérovité,phylloxerina,fyloxéra,phylloxerina salicis,fyloxéra vŕbová
genus,homoptera,rovnakokrídlovce,aphidoidea,vošky,,,phylloxeridae,fyloxérovité,phylloxera,fyloxéra,,
species,homoptera,rovnakokrídlovce,aphidoidea,vošky,,,phylloxeridae,fyloxérovité,phylloxera,fyloxéra,phylloxera coccinae,fyloxéra dubová
genus,homoptera,rovnakokrídlovce,aphidoidea,vošky,,,phylloxeridae,fyloxérovité,viteus,fyloxéra,,
species,homoptera,rovnakokrídlovce,aphidoidea,vošky,,,phylloxeridae,fyloxérovité,viteus,fyloxéra,viteus vitifoli,fyloxéra viničová
infraorder,homoptera,rovnakokrídlovce,coccoidea,červce,,,,,,,,
family,homoptera,rovnakokrídlovce,coccoidea,červce,,,ortheziidae,,,,,
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,ortheziidae,,orthezia,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,ortheziidae,,orthezia,červec,orthezia urticae,červec pŕhľavový
family,homoptera,rovnakokrídlovce,coccoidea,červce,,,margarodidae,,,,,
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,margarodidae,,icerya,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,margarodidae,,icerya,červec,icerya purchasi,červec perlový
family,homoptera,rovnakokrídlovce,coccoidea,červce,,,pseudococcidae,,,,,
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,pseudococcidae,,pseudococcus,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,pseudococcidae,,pseudococcus,červec,pseudococcus adonidum,červec lúčovitý
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,pseudococcidae,,pseudococcus,červec,pseudococcus citri,červec citrónovníkový
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,pseudococcidae,,phenacoccus,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,pseudococcidae,,phenacoccus,červec,phenacoccus aceris,červec klenový
family,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,,,,
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,cryptococcus,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,cryptococcus,červec,cryptococcus fagi,červec bukový
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,pseudochermes,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,pseudochermes,červec,pseudochermes fraxini,červec jaseňový
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,eriococcus,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,eriococcus,červec,eriococcus aceris,červec javorový
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,eriococcus,červec,eriococcus spurius,červec brestový
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,kermes,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,kermes,červec,kermes quercus,červec dubový
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,eriococcidae,,kermes,červec,kermes roboris,červec veľký
family,homoptera,rovnakokrídlovce,coccoidea,červce,,,coccidae,,,,,
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,coccidae,,physokermes,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,coccidae,,physokermes,červec,physokermes piceae,červec smrekový
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,coccidae,,pulvinaria,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,coccidae,,pulvinaria,červec,pulvinaria betulae,červec brezový
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,coccidae,,coccus,červec,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,coccidae,,coccus,červec,coccus hesperidum,červec izbový
family,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,,,,
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,saissetia,puklica,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,saissetia,puklica,saissetia haemisphaerica,puklica hnedá
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,eulecanium,puklica,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,eulecanium,puklica,eulecanium corni,puklica slivková
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,eulecanium,puklica,eulecanium coryli,puklica liesková
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,eulecanium,puklica,eulecanium rufulum,puklica dubová
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,eulecanium,puklica,eulecanium bituberculatum,puklica ovocná
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,eulecanium,puklica,eulecanium prunastri,puklica trnková
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,lecaniidae,puklicovité,eulecanium,puklica,eulecanium persicae,puklica broskyňová
family,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,,,,
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,parlatoria,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,parlatoria,štítnička,parlatoria oleae,štítnička olivová
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,mytilococcus,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,mytilococcus,štítnička,mytilococcus ulmi,štítnička čiarkovitá
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,carulaspis,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,carulaspis,štítnička,carulaspis visci,štítnička borievková
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,pinnaspis,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,pinnaspis,štítnička,pinnaspis aspidistrae,štítnička papraďová
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,aulacaspis,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,aulacaspis,štítnička,aulacaspis rosae,štítnička ružová
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,diaspis,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,diaspis,štítnička,diaspis echinocacti,štítnička kaktusová
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,epidiaspis,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,epidiaspis,štítnička,epidiaspis betulae,štítnička červená
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,aspidiotus,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,aspidiotus,štítnička,aspidiotus hederae,štítnička brečtanová
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,hemiberlesia,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,hemiberlesia,štítnička,hemiberlesia rapax,štítnička skleníková
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,leucaspis,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,leucaspis,štítnička,leucaspis pini,štítnička borovicová
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,anamaspis,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,anamaspis,štítnička,anamaspis loewi,štítnička obyčajná
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,diaspidiotus,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,diaspidiotus,štítnička,diaspidiotus alni,štítnička jelšová
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,dynaspidiotus,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,dynaspidiotus,štítnička,dynaspidiotus abietis,štítnička ihličnanová
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,dynaspidiotus,štítnička,dynaspidiotus britannicus,štítnička vavrínová
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,quadraspidiotus,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,quadraspidiotus,štítnička,quadraspidiotus osteraeformis,štítnička lastúrovitá
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,quadraspidiotus,štítnička,quadraspidiotus zonatus,štítnička dubová
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,quadraspidiotus,štítnička,quadraspidiotus piri,štítnička hrušková
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,quadraspidiotus,štítnička,quadraspidiotus marani,štítnička ovocná
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,quadraspidiotus,štítnička,quadraspidiotus perniciosus,štítnička nebezpečná
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,quadraspidiotus,štítnička,quadraspidiotus gigas,štítnička topoľová
genus,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,chionaspis,štítnička,,
species,homoptera,rovnakokrídlovce,coccoidea,červce,,,diaspididae,štítničkovité,chionaspis,štítnička,chionaspis salicis,štítnička vŕbová
order,coleoptera,chrobáky,,,,,,,,,,
infraorder,coleoptera,chrobáky,adephaga,mäsožravé,,,,,,,,
family,coleoptera,chrobáky,adephaga,mäsožravé,,,cicindelidae,svižníkovité,,,,
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,cicindelidae,svižníkovité,cicindela,svižník,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,cicindelidae,svižníkovité,cicindela,svižník,cicindela silvicola,svižník hôrny
species,coleoptera,chrobáky,adephaga,mäsožravé,,,cicindelidae,svižníkovité,cicindela,svižník,cicindela hybrida,svižník piesočný
species,coleoptera,chrobáky,adephaga,mäsožravé,,,cicindelidae,svižníkovité,cicindela,svižník,cicindela campestris,svižník poľný
species,coleoptera,chrobáky,adephaga,mäsožravé,,,cicindelidae,svižníkovité,cicindela,svižník,cicindela germanica,svižník malý
family,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,,,,
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,cychrus,bystruška,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,cychrus,bystruška,cychrus caraboides,bystruška nosatá
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,cychrus,bystruška,cychrus attenuatus,bystruška hnedá
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus coriaceus,bystruška kožovitá
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus violaceus,bystruška fialová
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus intricatus,bystruška vráskavá
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus auronitens,bystruška zlatá
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus granulatus,bystruška zrnitá
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus variolosus,bystruška potočná
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus cancellatus,bystruška medená
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus ullrichi,bystruška zlatomedená
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus obsoletus,bystruška lesklá
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus scheidleri,bystruška menivá
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus hortensis,bystruška záhradná
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus glabratus,bystruška hladká
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,carabus,bystruška,carabus linnei,bystruška ploská
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,calosoma,húseničiar,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,calosoma,húseničiar,calosoma inquisitor,húseničiar hnedý
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,calosoma,húseničiar,calosoma sycophanta,húseničiar pižmový
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,calosoma,húseničiar,calosoma maderae,húseničiar poľný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,nebria,bežec,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,nebria,bežec,nebria gyllenhali,bežec vrchovský
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,nebria,bežec,nebria tatrica,bežec snežný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,clivina,bežec,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,clivina,bežec,clivina fossor,bežec piesočný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,dyschirius,bežec,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,dyschirius,bežec,dyschirius globosus,bežec obyčajný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,broscus,bežec,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,broscus,bežec,broscus cephalotes,bežec veľkohlavý
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,bembidion,behúnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,bembidion,behúnik,bembidion lampros,behúnik lesklý
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,bembidion,behúnik,bembidion ustulatum,behúnik pobrežný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,trechus,behúnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,trechus,behúnik,trechus quadristriatus,behúnik štvorpásy
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,trechus,behúnik,trechus pulchellus,behúnik horský
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,duvalius,behúnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,duvalius,behúnik,duvalius microphthalmus,behúnik podzemný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,panagaeus,behúnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,panagaeus,behúnik,panagaeus crux,behúnik krížatý
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,callistus,behúnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,callistus,behúnik,callistus lunatus,behúnik mesiačikový
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,harpalus,behúnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,harpalus,behúnik,harpalus pubescens,behúnik plstnatý
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,harpalus,behúnik,harpalus aeneus,behúnik menivý
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,amara,behúnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,amara,behúnik,amara similata,behúnik široký
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,amara,behúnik,amara communis,behúnik obyčajný
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,amara,behúnik,amara aenea,behúnik kovový
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,amara,behúnik,amara fulva,behúnik žltý
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,zabrus,hrbáč,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,zabrus,hrbáč,zabrus blapoides,hrbáč stepný
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,zabrus,hrbáč,zabrus gibbus,hrbáč obilný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,pterostichus,utekáčik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,pterostichus,utekáčik,pterostichus cupreus,utekáčik medený
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,pterostichus,utekáčik,pterostichus niger,utekáčik čierny
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,pterostichus,utekáčik,pterostichus vulgaris,utekáčik obyčajný
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,pterostichus,utekáčik,pterostichus pumilio,utekáčik malý
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,pterostichus,utekáčik,pterostichus foveolatus,utekáčik horský
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,pterostichus,utekáčik,pterostichus metallicus,utekáčik kovový
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,pterostichus,utekáčik,pterostichus pilosus,utekáčik zlatý
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,abax,utekáčik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,abax,utekáčik,abax ater,utekáčik zavalitý
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,abax,utekáčik,abax schüppeli,utekáčik štíhly
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,molops,utekáčik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,molops,utekáčik,molops piceus,utekáčik hôrny
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,calathus,utekáčik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,calathus,utekáčik,calathus fuscipes,utekáčik poľný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,agonum,utekáčik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,agonum,utekáčik,agonum sexpunctatum,utekáčik šesťbodý
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,agonum,utekáčik,agonum assimile,utekáčik pobrežný
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,agonum,utekáčik,agonum dorsale,utekáčik dvojfarebný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,lebia,utekáčik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,lebia,utekáčik,lebia cyanocephala,utekáčik modrohlavý
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,dromius,utekáčik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,dromius,utekáčik,dromius linearis,utekáčik čiarkavý
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,odacantha,utekáčik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,odacantha,utekáčik,odacantha melanura,utekáčik trstinový
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,aptinus,strelček,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,aptinus,strelček,aptinus bombarda,strelček najväčší
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,brachynus,strelček,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,brachynus,strelček,brachynus explodens,strelček menší
species,coleoptera,chrobáky,adephaga,mäsožravé,,,carabidae,bystruškovité,brachynus,strelček,brachynus crepitans,strelček väčší
family,coleoptera,chrobáky,adephaga,mäsožravé,,,haliplidae,plavčíkovité,,,,
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,haliplidae,plavčíkovité,haliplus,plavčík,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,haliplidae,plavčíkovité,haliplus,plavčík,haliplus ruficollis,plavčík červenkastý
family,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,,,,
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,hydroporus,potápniček,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,hydroporus,potápniček,hydroporus palustris,potápniček bahenný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,agabus,potápnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,agabus,potápnik,agabus bipustulatus,potápnik dvojškvrnný
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,acilius,potápnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,acilius,potápnik,acilius sulcatus,potápnik rebierkavý
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,dytiscus,potápnik,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,dytiscus,potápnik,dytiscus latissimus,potápnik široký
species,coleoptera,chrobáky,adephaga,mäsožravé,,,dytiscidae,potápnikovité,dytiscus,potápnik,dytiscus marginalis,potápnik obrúbený
family,coleoptera,chrobáky,adephaga,mäsožravé,,,gyrinidae,krútňavcovité,,,,
genus,coleoptera,chrobáky,adephaga,mäsožravé,,,gyrinidae,krútňavcovité,gyrinus,krútňavec,,
species,coleoptera,chrobáky,adephaga,mäsožravé,,,gyrinidae,krútňavcovité,gyrinus,krútňavec,gyrinus natator,krútňavec obyčajný
infraorder,coleoptera,chrobáky,polyphaga,všežravé,,,,,,,,
family,coleoptera,chrobáky,polyphaga,všežravé,,,hydrophilidae,vodomilovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,hydrophilidae,vodomilovité,hydrous,vodomil,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,hydrophilidae,vodomilovité,hydrous,vodomil,hydrous piceus,vodomil čierny
family,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,necrophorus,hrobárik,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,necrophorus,hrobárik,necrophorus germanicus,hrobárik veľký
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,necrophorus,hrobárik,necrophorus humator,hrobárik čierny
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,necrophorus,hrobárik,necrophorus vespilloides,hrobárik hôrny
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,necrophorus,hrobárik,necrophorus vespillo,hrobárik obyčajný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,thanatophilus,zdochlinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,thanatophilus,zdochlinár,thanatophilus rugosus,zdochlinár vráskavý
genus,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,oeceoptoma,zdochlinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,oeceoptoma,zdochlinár,oeceoptoma thoracica,zdochlinár červenoštíty
genus,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,aclypea,zdochlinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,aclypea,zdochlinár,aclypea opaca,zdochlinár hnedkastý
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,aclypea,zdochlinár,aclypea undata,zdochlinár vlnkovaný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,xylodrepa,zdochlinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,xylodrepa,zdochlinár,xylodrepa quadripunctata,zdochlinár štvorbodkový
genus,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,silpha,zdochlinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,silpha,zdochlinár,silpha carinata,zdochlinár rebravý
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,silpha,zdochlinár,silpha obscura,zdochlinár obyčajný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,phosphuga,zdochlinár,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,silphidae,zdochlinárovité,phosphuga,zdochlinár,phosphuga atrata,zdochlinár černastý
family,coleoptera,chrobáky,polyphaga,všežravé,,,ptiliidae,pierkavčekovité,,,,
genus,coleoptera,chrobáky,polyphaga,všežravé,,,ptiliidae,pierkavčekovité,ptenidium,pierkavček,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,ptiliidae,pierkavčekovité,ptenidium,pierkavček,ptenidium pusillum,pierkavček obyčajný
genus,coleoptera,chrobáky,polyphaga,všežravé,,,ptiliidae,pierkavčekovité,millidium,pierkavček,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,ptiliidae,pierkavčekovité,millidium,pierkavček,millidium minutissimum,pierkavček najmenší
genus,coleoptera,chrobáky,polyphaga,všežravé,,,ptiliidae,pierkavčekovité,ptinella,pierkavček,,
species,coleoptera,chrobáky,polyphaga,všežravé,,,ptiliidae,pierkavčekovité,ptinella,pierkavček,ptinella aptera,pierkavček drobčíkovitý
