sciName,commonNameSBM,commonNameINat,differenceCategory
Magnolia obovata,magnólia obrátenovajcovitá,Magnólia Vajcovitolistá,proper
Mahonia,mahónia,Dráč,proper
Maianthemum bifolium,tôňovka dvojlistá,Tôňovka Dvojllistá,proper
Malus pumila,jabloň obyčajná,Jabloň Domáca,proper
Malva verticillata,slez praslenatý,Slez Kučeravý,proper
Mangifera laurina,mangovník vavrínový,Mangovník Indický,proper
Melampyrum cristatum,čermeľ hrebienkatý,Čermeľ Hrebenitý,proper
Melittis melissophyllum,medunka medovkolistá,Medúnka Medovkolistá,diacritics
Mespilus,mišpuľa,Hloh,proper
Microrrhinum minus,škľabivček menší,Papyštek Menší,proper
Microthlaspi perfoliatum,peniažtekovec prerastenolistý,Peniažtek Prerastenolistý,proper
Muntingia calabura,muntingia ovocná,Muntingia Kalaburová,proper
Mycelis muralis,mliečka múrová,Šalátovka Múrová,proper
Myosoton,mäkkuľa,Hviezdica,proper
Narcissus cuneiflorus,narcis klinokvetý,Narcis Astúrsky,proper
Neottia cordata,bradáčik srdcovitý,Bradáčik Srdcovitolistý,proper
Neottia ovata,bradáčik vajcovitý,Bradáčik Vajcovitolistý,proper
Neptunia oleracea,neptúnia zeleninová,Citlivka Plávajúca,proper
Noccaea,torbica,Peniažtekovec,proper
Oenanthe aquatica,halucha vodná,Haluchovka Vodná,proper
Oenanthe fluviatilis,halucha riečna,Halucha Bolehlavovitá,proper
Oenothera oakesiana,pupalka ovisnutá,Pupalka Pieskomilná,proper
Oenothera parviflora,pupalka malokvetá,Pupalka Isslerova,proper
Oenothera villosa,pupalka huňatá,Pupalka Prícestná,proper
Opuntia megacantha,opuncia veľkotŕňová,Opuncia Figová,proper
Oreojuncus trifidus,sitina trojklaná,Sitina Trojzárezová,proper
Ornithogalum angustifolium,bledavka úzkolistá,Bledavka Chocholíkatá,proper
Ornithogalum umbellatum,bledavka okolíkatá,Bledavka Chocholíkatá,proper
Orthanthera,hviezdokvetka,Leptadénia,proper
Oxalis dillenii,kyslička Dillenova,Kysličkovec Dilleniov,proper
Pandanus macrocarpus,pandan veľkoplodý,Pandan Tichomorský,proper
Panicum capillare,proso vláskovité,Proso Rozložité,proper
Panicum riparium,proso pobrežné,Proso Rozložité,proper
Paris quadrifolia,vranie oko štvorlisté,Vranovec Štvorlistý,proper
Pedicularis exaltata,všivec statný,Všivec Hacquetov,proper
Pentanema oculus-christi,oman oko Kristovo,Oman Hodvábny,proper
Pentanema squarrosum,oman kostrbatý,Oman Hnidák,proper
Perityle,perityla,Lykaps,proper
Persicaria maculosa,horčiak obyčajný,Horčiak Broskyňolistý,proper
Phedimus kamtschaticus,rozchodník kamčatský,Rozchodník Kvetonosný,proper
Phlox subulata,flox šidlovitý,Flox Šidlolistý,proper
Physalis alkekengi,machovka židovská čerešňa,Machovka Čerešňová,proper
Physalis franchetii,machovka Franchettova,Machovka Čerešňová,proper
Picea omorika,smrek balkánsky,Smrek Omorikový,proper
Pinus cembra,borovica vrchovská,Borovica Limbová,proper
Pinus edulis,borovica jedlá,Borovica Sladká,proper
Pistacia terebinthus,pistácia terpentínová,Pistácia Terebintová,proper
Plumbago,olovník,Rohoblizník,proper
Polygala amarella,horčinka horkastá,Hočinka Horkastá,proper
Polygala comosa,horčinka chochlatá,Horčinka Chocholatá,proper
Pontederia,pontedéria,Plaváčik,proper
Populus tremula,topoľ trasľavý,Topoľ Osikový,proper
Populus ussuriensis,topoľ ussurijský,Topoľ Príjemný,proper
Potentilla aurea,nátržník zlatý,Mochna Zlatá,proper
Potentilla neumanniana,nátržník Neumannov,Nátržník Jarný,proper
Potentilla supina,nátržník ležatý,Nátržník Poliehavý,proper
Procris repens,prokra plazivá,Peliónia Annamská,proper
Protium,prócium,Papučovník,proper
Prunella laciniata,čiernohlávok úkrojkatý,Čiernohlávok Zastrihovaný,proper
Prunus padus,čremcha obyčajná,Čremcha Strapcovitá,proper
Prunus spinosa,trnka obyčajná,Slivka Trnková,proper
Prunus,"slivka, broskyňa, čerešňa, čremcha, mahalebka, mandľa, marhuľa, trnka, vavrínovec, višňa",Slivka,proper
Puccinellia limosa,steblovec močiarny,Steblovec Odstávajúci,proper
Pulmonaria mollis,pľúcnik mäkký,Pľúcnik Najmäkší,proper
Pulsatilla alpina,poniklec alpínsky,Poniklec Biely,proper
Pulsatilla halleri,poniklec Hallerov,Poniklec Prostredný,proper
Pyracantha fortuneana,hlohyňa Fortuneova,Hlohyňa Vrúbkovaná,proper
Pyrus calleryana,hruška Calleryho,Hruška Calleryova,proper
Quercus cerris,dub južný,Dub Cerový,proper
Quercus ilicifolia,dub cezmínolistý,Dub Jadranský,proper
Quercus longipes,dub dlhostopkatý,Dub Sivý,proper
Quercus pedunculiflora,dub sivozelený,Dub Sivý,proper
Quercus pubescens,dub páperistý,Dub Plstnatý,proper
Ranunculus flammula,iskerník plamienkový,Iskerník Plamenný,proper
Ranunculus olgae,iskerník afganský,Iskerník Oľgin,proper
Ranunculus rionii,močiarka Rionova,Močiarka Rioniho,proper
Ranunculus,"iskerník, močiarka",Iskerník,proper
Reynoutria japonica,krídlatka japonská,Pohánkovec Japonský,proper
Rhododendron luteum,rododendron žltý,Rododendrón Žltý,diacritics
Ribes americanum,ríbezľa americká,Ríbezľa Zlatá,proper
Ribes uva-crispa,egreš obyčajný,Ríbezľa Egrešová,proper
Ribes,"ríbezľa, egreš, josta",Ríbezľa,proper
Rosa sweginzowii,ruža Sweginsowova,Ruža Prvosienková,proper
Rubus phoenicolasius,ostružina purpurovočervená,Japonský Černica,proper
Rubus ulmifolius,ostružina brestolistá,Ostružina,proper
Rudbeckia laciniata,rudbekia úkrojkatá,Rudbekia Strapatá,proper
Rumex alpinus,štiav alpský,Štiavec Alpský,proper
Rumex crispus,štiav kučeravý,Štiavec Kučeravý,proper
Rumex maritimus,štiav prímorský,Štiavec Prímorský,proper
Rumex obtusifolius,štiav tupolistý,Štiavec Tupolistý,proper
Sabulina verna,kurička jarná,Kurička Smejkalova,proper
Salix aegyptiaca,vŕba perzská,Vŕba Egyptská,proper
Salix caprea,vŕba kozia,Vŕba Rakytová,proper
Salix daphnoides,vŕba lykovcovitá,Vŕba Lykovcová,proper
Salix euxina,vŕba čiernomorská,Vŕba Krehká,proper
Sambucus ebulus,baza podzemková,Baza Chabzdová,proper
Sanicula,žindava,Hviezdnatec,proper
Saxifraga rosacea,lomikameň ružovkastý,Lomikameň Trsnatý,proper
Saxifraga umbrosa,lomikameň tôňomilný,Lomikameň Tôňový,proper
Schefflera,šeflera,Dáždnikovník,proper
Schizaeaceae,rozklankovité,Vejárovkovité,proper
Scilla,scila,Scilovka,proper
Sclerocactus erectocentrus,sklerokaktus vzpriamený,Echinomastus Vzpriamený,proper
Sclerocactus mariposensis,sklerokaktus mariposký,Echinomastus Mariposký,proper
Scorzonera austriaca,hadí mor rakúsky,Hadomor Rakúsky,proper
Scorzonera,hadí mor,Hadí Koreň,proper
Sedum kamtschaticum,rozchodník kamčatský,Rozchodník Kvetonosný,proper
Sedum reflexum,rozchodník zohnutý,Rozchodník Skalný,proper
Sedum urvillei,rozchodník balkánsky,Rozchodník Hillebrandov,proper
Sesleria tatrae,ostrevka tatranská,Ostrevka Sadlerova,proper
Setaria pumila,bar sivý,Mohár Sivý,proper
Silene latifolia,silenka širokolistá,Knôtovka Biela,proper
Silene vulgaris,silenka nadutá,Silenka Obyčajná,proper
Silybum marianum,ostropestrec mariánsky,Pestrec Mariánsky,proper
Sisymbrium officinale,huľavník lekársky,Huľavníkovec Lekársky,proper
Solanum tuberosum,zemiak obyčajný,Ľuľok Zemiakový,proper
Solanum,"ľuľok, rajčiak, zemiak",Ľuľok,proper
Sorbus aria,mukyňa obyčajná,Jarabina Mukyňová,proper
Sorbus domestica,oskoruša domáca,Jarabina Oskorušová,proper
Sorbus hupehensis,jarabina chupejská,Jarabina Rôznofarebná,proper
Sorbus japonica,jarabina japonská,Jarabina Pomiešaná,proper
Sorbus torminalis,brekyňa obyčajná,Jarabina Brekyňová,proper
Staphylea,klokoč,Klokočka,proper
Syringa persica,orgován perzský,Orgován Afganský,proper
Taraxacum alpestre,púpava krkonošská,Púpava Pramenisková,proper
Taraxacum scanicum,púpava škandinávska,Púpava Purpurovoplodá,proper
Teucrium montanum,hrdobarka horská,Ožanka Horská,proper
Thymus marschallianus,materina dúška Marschallova,Materina Dúška Panónska,proper
Tonina,tonina,Lúčohlávok,proper
Toxicodendron radicans,sumachovec zakoreňujúci,Sumachovec Popínavý,proper
Trachymene coerulea,trachyménka belasá,Dvojdisk Belasý,proper
