-> existing name differs properly for Cephalanthera longifolia: iNat 'Prilbovka Dlholistá' vs provided 'vtáčia prilba dlholistá'.
-> existing name differs properly for Cerastium holosteoides: iNat 'Rožec Obyčajný' vs provided 'rožec lúčny'.
-> existing name differs properly for Ceratophyllum demersum: iNat 'Rožkatec Ponorený' vs provided 'rožkatec potopený'.
-> existing name differs properly for Chamaecereus: iNat 'Ježovník' vs provided 'fakľovček'.
-> existing name differs properly for Chenopodium betaceum: iNat 'Mrlík Tuhý' vs provided 'mrlík cviklový'.
-> existing name differs properly for Chenopodium probstii: iNat 'Mrlík Biely' vs provided 'mrlík Probstov'.
-> existing name differs properly for Cimicifuga: iNat 'Samorastlík' vs provided 'ploštičník'.
-> existing name differs properly for Circaea lutetiana: iNat 'Čarovník Obyčajný' vs provided 'čarovník parížsky'.
-> existing name differs properly for Cirsium eriophorum: iNat 'Pichliač Belohlavý' vs provided 'pichliač bielohlavý'.
-> existing name differs properly for Citrus trifoliata: iNat 'Citrónovníkovec Trojlistý' vs provided 'citrónovník trojlístkový'.
-> existing name differs properly for Clematis flammula: iNat 'Plamienok Pálčivý' vs provided 'plamienok stredomorský'.
-> existing name differs properly for Clinopodium acinos: iNat 'Dušovka Roľná' vs provided 'marulka roľná'.
-> existing name differs properly for Clinopodium vulgare: iNat 'Jarva Obyčajná' vs provided 'marulka obyčajná'.
-> existing name differs properly for Cochlospermum: iNat 'Amoruxia' vs provided 'bavlnovec'.
-> existing name differs properly for Cochlospermum malvifolium: iNat 'Amoruxia Slezolistá' vs provided 'bavlnovec slezolistý'.
-> existing name differs properly for Colchicum montanum: iNat 'Jesienka Jarná Pestrofarebná' vs provided 'jesienka horská'.
-> existing name differs properly for Colutea arborescens: iNat 'Mechúrnik Stromovitý' vs provided 'mechúrnik stromčekovitý'.
-> existing name differs properly for Colymbada scabiosa: iNat 'Nevädzník Hlaváčovitý' vs provided 'nevädza hlaváčovitá'.
-> existing name differs properly for Conophytum concordans: iNat 'Kužeľovec Carlov' vs provided 'kužeľovec svorný'.
-> existing name differs properly for Consolida ajacis: iNat 'Ostrôžka Záhradná' vs provided 'ostrôžka Ajaxova'.
-> existing name differs properly for Coreopsis tinctoria: iNat 'Krásnoočko Farbiarske' vs provided 'kráska farbiarska'.
-> existing name differs properly for Cortusa matthioli: iNat 'Kortúza Mattioliho' vs provided 'kortúza Matthioliho'.
-> existing name differs properly for Cota austriaca: iNat 'Rumanovec Rakúsky' vs provided 'ruman rakúsky'.
-> existing name differs properly for Cota tinctoria: iNat 'Rumanovec Farbiarsky' vs provided 'ruman farbiarsky'.
