
sciName,commonNameSBM,commonNameINat,differenceCategory
Nymphoides peltata,leknovec štítovitý,Leknovec Štítnatý,proper
Oenanthe aquatica,halucha vodná,Haluchovka Vodná,proper
Oenanthe fluviatilis,halucha riečna,Halucha Bolehlavovitá,proper
Oenothera oakesiana,pupalka ovisnutá,Pupalka Pieskomilná,proper
Oenothera parviflora,pupalka malokvetá,Pupalka Isslerova,proper
Oenothera pycnocarpa,pupalka chicagska,Pupalka Dvojročná,proper
Oenothera rubricaulis,pupalka červenobyľová,Pupalka Dvojročná,proper
Oenothera villosa,pupalka huňatá,Pupalka Prícestná,proper
Opuntia megacantha,opuncia veľkotŕňová,Opuncia Figová,proper
Oreojuncus trifidus,sitina trojklaná,Sitina Trojzárezová,proper
Ornithogalum angustifolium,bledavka úzkolistá,Bledavka Chocholíkatá,proper
Ornithogalum boucheanum,bledavka Bouchého,Bledavka Hrebenitá,proper
Ornithogalum brevistylum,bledavka krátkočnelková,Bledavka Ihlanovitá,proper
Ornithogalum umbellatum,bledavka okolíkatá,Bledavka Chocholíkatá,proper
Orobanche elatior,záraza vysoká,Záraza Väčšia,proper
Orthanthera,hviezdokvetka,Leptadénia,proper
Oxalis corniculata,kyslička rožkatá,Kysličkovec Rožkatý,proper
Oxalis dillenii,kyslička Dillenova,Kysličkovec Dilleniov,proper
Pandanus macrocarpus,pandan veľkoplodý,Pandan Tichomorský,proper
Panicum capillare,proso vláskovité,Proso Rozložité,proper
Panicum riparium,proso pobrežné,Proso Rozložité,proper
Paris quadrifolia,vranie oko štvorlisté,Vranovec Štvorlistý,proper
Pedicularis exaltata,všivec statný,Všivec Hacquetov,proper
Pentanema oculus-christi,oman oko Kristovo,Oman Hodvábny,proper
Pentanema squarrosum,oman kostrbatý,Oman Hnidák,proper
Perityle,perityla,Lykaps,proper
Persea,hruškovec,Barbusana,proper
Persicaria maculosa,horčiak obyčajný,Horčiak Broskyňolistý,proper
Phaius,fajus,Kalanta,proper
Phedimus kamtschaticus,rozchodník kamčatský,Rozchodník Kvetonosný,proper
Phleum alpinum,timotejka alpínska,Timotejka Švajčiarska,proper
Phlox subulata,flox šidlovitý,Flox Šidlolistý,proper
Physalis alkekengi,machovka židovská čerešňa,Machovka Čerešňová,proper
