rank,sciName,matches
subspecies,Allium schoenoprasum schoenoprasum,"[('Allium schoenoprasum schoenoprasum', 'Varieta')]"
subspecies,Amaranthus graecizans sylvestris,"[('Láskavec Úzkolistý (Amaranthus graecizans sylvestris)', 'Amaranthus graecizans')]"
subspecies,Angelica sylvestris bernardiae,"[('Angelika Lesná Pravá (Angelica sylvestris bernardiae)', 'Angelica sylvestris sylvestris')]"
subspecies,Aquilegia pyrenaica discolor,"[('Aquilegia discolor (Aquilegia pyrenaica discolor)', 'Druh')]"
subspecies,Aquilegia vulgaris vulgaris,"[('Orlíček Obyčajný (Aquilegia vulgaris vulgaris)', 'Aquilegia vulgaris')]"
subspecies,Arabis alpina caucasica,"[('Arabis caucasica (Arabis alpina caucasica)', 'Druh')]"
subspecies,Asarum europaeum caucasicum,"[('Asarum caucasicum (Asarum europaeum caucasicum)', 'Druh')]"
subspecies,Asplenium trichomanes hastatum,"[('Slezinník Červený Oštepovitolistý', 'Asplenium trichomanes hastatum')]"
subspecies,Asplenium trichomanes inexpectans,"[('Slezinník Červený Vápencový', 'Asplenium trichomanes inexpectans')]"
subspecies,Asplenium trichomanes quadrivalens,"[('Slezinník Červený Hnedovýtrusný', 'Asplenium trichomanes quadrivalens')]"
subspecies,Asplenium trichomanes trichomanes,"[('Slezinník Červený Pravý', 'Asplenium trichomanes trichomanes')]"
subspecies,Avenella flexuosa flexuosa,"[('Metluška Krivolaká (Avenella flexuosa flexuosa)', 'Avenella flexuosa')]"
subspecies,Bassia scoparia densiflora,"[('Basia Metlovitá (Bassia scoparia densiflora)', 'Bassia scoparia')]"
subspecies,Bassia scoparia scoparia,"[('Basia Metlovitá (Bassia scoparia scoparia)', 'Bassia scoparia')]"
subspecies,Betula pubescens pubescens,"[('Breza Plstnatá Pravá', 'Betula pubescens pubescens')]"
subspecies,Bromus inermis inermis,"[('Stoklas Bezosťový (Bromus inermis inermis)', 'Bromus inermis')]"
subspecies,Bromus secalinus secalinus,"[('Stoklas Obilný (Bromus secalinus secalinus)', 'Bromus secalinus')]"
subspecies,Bupleurum falcatum cernuum,"[('Bupleurum exaltatum (Bupleurum falcatum cernuum)', 'Druh')]"
subspecies,Camelina sativa sativa,"[('Ľaničník Siaty (Camelina sativa sativa)', 'Camelina sativa')]"
subspecies,Cedrus libani brevifolia,"[('Cedrus brevifolia (Cedrus libani brevifolia)', 'Druh')]"
subspecies,Centaurea jacea angustifolia,"[('Nevädzovec Panónsky', 'Centaurea jacea angustifolia')]"
subspecies,Ceratophyllum demersum apiculatum,"[('Rožkatec Ponorený Hrboľkatý', 'Ceratophyllum demersum apiculatum')]"
subspecies,Ceratophyllum demersum demersum,"[('Rožkatec Ponorený Pravý', 'Ceratophyllum demersum demersum')]"
