rank,order_scientific,order_common,family_scientific,family_common,subfamily_scientific,subfamily_common,genus_scientific,genus_common,species_scientific,species_common
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Petrophassa,blyskavec,Petrophassa albipennis,blyskavec bielokrídly
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Leucosarcia,vonga,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Leucosarcia,vonga,Leucosarcia melanoleuca,vonga hermelínová
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geopelia,holúbok,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geopelia,holúbok,Geopelia cuneata,holúbok diamantový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geopelia,holúbok,Geopelia striata,holúbok pásikavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geopelia,holúbok,Geopelia placida,holúbok pokojný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geopelia,holúbok,Geopelia maugeus,holúbok vlnkovaný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geopelia,holúbok,Geopelia humeralis,holúbok medenokrký
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phaps,blyskavec,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phaps,blyskavec,Phaps chalcoptera,blyskavec bronzovokrídly
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phaps,blyskavec,Phaps elegans,blyskavec ozdobný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phaps,blyskavec,Phaps histrionica,blyskavec kŕdľový
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geophaps,blyskavec,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geophaps,blyskavec,Geophaps plumifera,blyskavec prepeličí
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geophaps,blyskavec,Geophaps ferruginea,blyskavec hrdzavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geophaps,blyskavec,Geophaps scripta,blyskavec farmársky
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Geophaps,blyskavec,Geophaps smithii,blyskavec škraboškový
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Trugon,trugón,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Trugon,trugón,Trugon terrestris,trugón zemný
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Microgoura,sedlonos,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Microgoura,sedlonos,Microgoura meeki,sedlonos chochlatý
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Otidiphaps,bažantiak,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Otidiphaps,bažantiak,Otidiphaps nobilis,bažantiak lesný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Otidiphaps,bažantiak,Otidiphaps aruensis,bažantiak hnedokrídly
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Otidiphaps,bažantiak,Otidiphaps cervicalis,bažantiak horský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Otidiphaps,bažantiak,Otidiphaps insularis,bažantiak ostrovný
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Caloenas,veľkohrivec,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Caloenas,veľkohrivec,Caloenas nicobarica,veľkohrivec bradavičnatý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Caloenas,veľkohrivec,Caloenas maculata,veľkohrivec krátkokrídly
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Raphus,dront,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Raphus,dront,Raphus cucullatus,dront nelietavý
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Pezophaps,pustovník,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Pezophaps,pustovník,Pezophaps solitaria,pustovník krátkokrídly
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Didunculus,drontík,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Didunculus,drontík,Didunculus strigirostris,drontík zúbkatý
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Goura,korunáč,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Goura,korunáč,Goura cristata,korunáč modrý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Goura,korunáč,Goura sclaterii,korunáč hnedoplecí
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Goura,korunáč,Goura scheepmakeri,korunáč veľký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Goura,korunáč,Goura victoria,korunáč vejárový
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron fulvicollis,trerón škoricový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron olax,trerón malý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron vernans,trerón ružovokrký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron bicinctus,trerón pestroprsý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron pompadora,trerón hnedokrídly
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron affinis,trerón sivočelý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron phayrei,trerón šedivý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron chloropterus,trerón andamanský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron axillaris,trerón filipínsky
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron aromaticus,trerón buruský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron curvirostra,trerón hrubozobý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron griseicauda,trerón sivolíci
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron teysmannii,trerón sumbský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron floris,trerón floreský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron psittaceus,trerón jednofarebný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron capellei,trerón veľký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron phoenicopterus,trerón žltonohý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron waalia,trerón žltobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron australis,trerón zelený
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron griveaudi,trerón komorský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron calvus,trerón figovníkový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron delalandii,trerón pančuchový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron pembaensis,trerón sivohlavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron sanctithomae,trerón sivý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron apicauda,trerón ostrochvostý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron oxyurus,trerón sumatranský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron seimundi,trerón bielobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron sphenurus,trerón klinochvostý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron sieboldii,trerón zlatolíci
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron formosae,trerón ohnivohlavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Treron,trerón,Treron permagnus,trerón okinavský
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phapitreron,limukon,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phapitreron,limukon,Phapitreron leucotis,limukon malý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phapitreron,limukon,Phapitreron nigrorum,limukon plavosluchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phapitreron,limukon,Phapitreron brevirostris,limukon krátkozobý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phapitreron,limukon,Phapitreron amethystinus,limukon ametystový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phapitreron,limukon,Phapitreron frontalis,limukon sivobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phapitreron,limukon,Phapitreron maculipectus,limukon negroský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phapitreron,limukon,Phapitreron cinereiceps,limukon hnedý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Phapitreron,limukon,Phapitreron brunneiceps,limukon mindanajský
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Chalcophaps,lesklica,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Chalcophaps,lesklica,Chalcophaps indica,lesklica zelenokrídla
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Chalcophaps,lesklica,Chalcophaps longirostris,lesklica tichomorská
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Chalcophaps,lesklica,Chalcophaps stephani,lesklica bledočelá
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Oena,namakva,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Oena,namakva,Oena capensis,namakva dlhochvostá
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Turtur,bronzovka,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Turtur,bronzovka,Turtur chalcospilos,bronzovka lesná
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Turtur,bronzovka,Turtur abyssinicus,bronzovka čiernozobá
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Turtur,bronzovka,Turtur afer,bronzovka malá
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Turtur,bronzovka,Turtur tympanistria,bronzovka bubeník
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Turtur,bronzovka,Turtur brehmeri,bronzovka modrohlavá
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula poliocephala,plodožer ružovobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula forsteni,plodožer bielobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula mindorensis,plodožer okuliarnatý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula radiata,plodožer pruhochvostý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula carola,plodožer bielohrdlý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula aenea,plodožer bronzový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula oenothorax,plodožer engganský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula nicobarica,plodožer nikobarský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula perspicillata,plodožer bielooký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula neglecta,plodožer seramský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula concinna,plodožer kráľovský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula pacifica,plodožer tichomorský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula oceanica,plodožer mikronézsky
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula aurorae,plodožer guavový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula galeata,plodožer štítozobý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula rubricera,plodožer bradavičnatý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula myristicivora,plodožer smaragdový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula geelvinkiana,plodožer zálivový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula rufigaster,plodožer hrdzavobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula basilica,plodožer škoricový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula obiensis,plodožer škoricovobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula finschii,plodožer muškátový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula chalconota,plodožer lesklý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula pistrinaria,plodožer mlynársky
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula rosacea,plodožer ružovkastý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula whartoni,plodožer tmavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula pickeringii,plodožer ostrovný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula latrans,plodožer hnedochvostý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula brenchleyi,plodožer hnedobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula bakeri,plodožer žltooký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula goliath,plodožer veľký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula pinon,plodožer červenooký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula salvadorii,plodožer ružovohlavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula melanochroa,plodožer čierny
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula mullerii,plodožer čiernokrký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula zoeae,plodožer ružovokrký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula badia,plodožer pláštikový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula cuprea,plodožer pásochvostý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula lacernulata,plodožer tmavochrbtý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula cineracea,plodožer timorský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula bicolor,plodožer dvojfarebný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula luctuosa,plodožer biely
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula spilorrhoa,plodožer cisársky
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ducula,plodožer,Ducula subflavescens,plodožer pobrežný
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Hemiphaga,plodožer,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Hemiphaga,plodožer,Hemiphaga novaeseelandiae,plodožer maorský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Hemiphaga,plodožer,Hemiphaga chathamensis,plodožer chathamský
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Lopholaimus,plodožer,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Lopholaimus,plodožer,Lopholaimus antarcticus,plodožer parochňový
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Cryptophaps,plodožer,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Cryptophaps,plodožer,Cryptophaps poecilorrhoa,plodožer škvrnitý
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Gymnophaps,plodožer,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Gymnophaps,plodožer,Gymnophaps albertisii,plodožer horský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Gymnophaps,plodožer,Gymnophaps mada,plodožer dlhochvostý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Gymnophaps,plodožer,Gymnophaps stalkeri,plodožer Stalkerov
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Gymnophaps,plodožer,Gymnophaps solomonensis,plodožer sivý
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Megaloprepia,pestroš,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Megaloprepia,pestroš,Megaloprepia formosa,pestroš bambusový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Megaloprepia,pestroš,Megaloprepia magnifica,pestroš vznešený
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus marchei,pestroš ohnivoprsý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus merrilli,pestroš svetlobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus occipitalis,pestroš punaj
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus fischeri,pestroš červenosluchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus meridionalis,pestroš hôrny
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus jambu,pestroš jambu
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus epius,pestroš celebeský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus subgularis,pestroš tmavobradý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus mangoliensis,pestroš sulský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ramphiculus,pestroš,Ramphiculus leclancheri,pestroš čiernobradý
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Chrysoena,pestroš,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Chrysoena,pestroš,Chrysoena luteovirens,pestroš zlatý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Chrysoena,pestroš,Chrysoena victor,pestroš pomarančový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Chrysoena,pestroš,Chrysoena viridis,pestroš hvízdavý
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Alectroenas,pestroš,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Alectroenas,pestroš,Alectroenas nitidissimus,pestroš maurícijský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Alectroenas,pestroš,Alectroenas payandeei,pestroš rodrigueský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Alectroenas,pestroš,Alectroenas madagascariensis,pestroš modrý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Alectroenas,pestroš,Alectroenas sganzini,pestroš kapucňový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Alectroenas,pestroš,Alectroenas pulcherrimus,pestroš bradavičiar
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Drepanoptila,pestroš,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Drepanoptila,pestroš,Drepanoptila holosericea,pestroš krátkochvostý
genus,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,,
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus melanospilus,pestroš čiernotylový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus porphyreus,pestroš ružovohlavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus cinctus,pestroš trojfarebný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus dohertyi,pestroš červenotylový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus alligator,pestroš eukalyptový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus nainus,pestroš trpasličí
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus superbus,pestroš hnedokrký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus temminckii,pestroš fialovoprsý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus rivoli,pestroš bieloprsý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus solomonensis,pestroš žltoprsý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus speciosus,pestroš pôvabný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus tannensis,pestroš škvrnitoplecí
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus iozonus,pestroš zelený
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus viridis,pestroš červenoprsý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus eugeniae,pestroš bielohlavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus insolitus,pestroš hrčozobý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus hyogastrus,pestroš sivohlavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus granulifrons,pestroš hrčkatý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus perlatus,pestroš perličkový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus wallacii,pestroš zlatobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus aurantiifrons,pestroš zlatočelý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus ornatus,pestroš ozdobný
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus gestroi,pestroš olivovohlavý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus pulchellus,pestroš sivoprsý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus monacha,pestroš modročelý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus regina,pestroš korunkatý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus coronulatus,pestroš diadémový
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus dupetithouarsii,pestroš markézsky
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus porphyraceus,pestroš čiapočkatý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus fasciatus,pestroš samojský
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus ponapensis,pestroš mikronézsky
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus hernsheimi,pestroš karolínsky
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus greyi,pestroš červenobruchý
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus mercierii,pestroš belavokrký
species,Columbiformes,holuby,Columbidae,holubovité,Raphinae,drontorodé,Ptilinopus,pestroš,Ptilinopus pelewensis,pestroš sivokrký
